,titles,term,frequency
0,"The Frog-King, or Iron Henry",say,11
1,Cat and Mouse in Partnership,say,14
2,Our Lady's Child,say,20
3,The Story of the Youth who Went Forth to Learn What Fear Was,say,51
4,The Wolf and The Seven Little Kids,say,9
5,"The Frog-King, or Iron Henry",thou,17
6,Cat and Mouse in Partnership,thou,0
7,Our Lady's Child,thou,21
8,The Story of the Youth who Went Forth to Learn What Fear Was,thou,36
9,The Wolf and The Seven Little Kids,thou,5
10,"The Frog-King, or Iron Henry",go,8
11,Cat and Mouse in Partnership,go,10
12,Our Lady's Child,go,9
13,The Story of the Youth who Went Forth to Learn What Fear Was,go,38
14,The Wolf and The Seven Little Kids,go,9
15,"The Frog-King, or Iron Henry",will,4
16,Cat and Mouse in Partnership,will,11
17,Our Lady's Child,will,10
18,The Story of the Youth who Went Forth to Learn What Fear Was,will,25
19,The Wolf and The Seven Little Kids,will,7
20,"The Frog-King, or Iron Henry",come,6
21,Cat and Mouse in Partnership,come,3
22,Our Lady's Child,come,5
23,The Story of the Youth who Went Forth to Learn What Fear Was,come,27
24,The Wolf and The Seven Little Kids,come,9
25,"The Frog-King, or Iron Henry",can,6
26,Cat and Mouse in Partnership,can,1
27,Our Lady's Child,can,11
28,The Story of the Youth who Went Forth to Learn What Fear Was,can,27
29,The Wolf and The Seven Little Kids,can,2
30,"The Frog-King, or Iron Henry",little,10
31,Cat and Mouse in Partnership,little,3
32,Our Lady's Child,little,12
33,The Story of the Youth who Went Forth to Learn What Fear Was,little,10
34,The Wolf and The Seven Little Kids,little,6
35,"The Frog-King, or Iron Henry",shudder,0
36,Cat and Mouse in Partnership,shudder,0
37,Our Lady's Child,shudder,0
38,The Story of the Youth who Went Forth to Learn What Fear Was,shudder,38
39,The Wolf and The Seven Little Kids,shudder,0
40,"The Frog-King, or Iron Henry",thy,14
41,Cat and Mouse in Partnership,thy,0
42,Our Lady's Child,thy,11
43,The Story of the Youth who Went Forth to Learn What Fear Was,thy,10
44,The Wolf and The Seven Little Kids,thy,2
45,"The Frog-King, or Iron Henry",king,17
46,Cat and Mouse in Partnership,king,0
47,Our Lady's Child,king,7
48,The Story of the Youth who Went Forth to Learn What Fear Was,king,12
49,The Wolf and The Seven Little Kids,king,0
50,"The Frog-King, or Iron Henry",take,5
51,Cat and Mouse in Partnership,take,2
52,Our Lady's Child,take,10
53,The Story of the Youth who Went Forth to Learn What Fear Was,take,15
54,The Wolf and The Seven Little Kids,take,3
55,"The Frog-King, or Iron Henry",child,2
56,Cat and Mouse in Partnership,child,5
57,Our Lady's Child,child,18
58,The Story of the Youth who Went Forth to Learn What Fear Was,child,0
59,The Wolf and The Seven Little Kids,child,9
60,"The Frog-King, or Iron Henry",thee,11
61,Cat and Mouse in Partnership,thee,0
62,Our Lady's Child,thee,4
63,The Story of the Youth who Went Forth to Learn What Fear Was,thee,17
64,The Wolf and The Seven Little Kids,thee,2
65,"The Frog-King, or Iron Henry",see,7
66,Cat and Mouse in Partnership,see,2
67,Our Lady's Child,see,5
68,The Story of the Youth who Went Forth to Learn What Fear Was,see,13
69,The Wolf and The Seven Little Kids,see,5
70,"The Frog-King, or Iron Henry",cry,8
71,Cat and Mouse in Partnership,cry,2
72,Our Lady's Child,cry,3
73,The Story of the Youth who Went Forth to Learn What Fear Was,cry,10
74,The Wolf and The Seven Little Kids,cry,8
